Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,28151
Base Time Seconds,1530794638
Base Time Fractional,.620458220
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.0001159491221188,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001941478986,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.620458220
2,-0.0001155866775662,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002085317683,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.623933860
3,-0.0001152241093223,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229157544,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.627387360
4,-0.0001150791358668,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229157544,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.630854300
5,-0.0001152242257376,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002372993913,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.634301880
6,-0.0001150067619164,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002372993913,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.637753660
7,-0.0001149342715507,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002372993913,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.641219420
8,-0.0001146443173639,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002372993913,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.644686240
9,-0.0001145717033069,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002372995077,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.648142860
10,-0.000114716567623,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229158708,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.651612220
11,-0.0001147890579887,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002085321175,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.655060380
12,-0.0001146440772573,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002085321175,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.658522420
13,-0.0001146440772573,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001941482478,Volt DC,10,F,2W,F,F,07/05/2018,12:43:58,.661980140
