Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,17081
Base Time Seconds,1530791426
Base Time Fractional,.219667060
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
1,-0.0001728554343572,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002660657337,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.219667060
2,-0.0001667659817031,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002660659666,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.223162020
3,-0.0001606041623745,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002660660830,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.226624380
4,-0.0001545147097204,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002516825625,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.230081120
5,-0.0001484252570663,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002372990421,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.233533080
6,-0.0001423358044121,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002372992749,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.236997040
7,-0.0001363188493997,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002372995077,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.240453060
8,-0.0001302293967456,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229159873,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.243904860
9,-0.0001242124271812,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229162201,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.247367380
10,-0.000124067577417,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229161037,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.250819240
11,-0.0001241399440914,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229162201,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.254274760
12,-0.0001240674464498,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229162201,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.257743780
13,-0.000124067577417,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002372998570,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.261204320
14,-0.000124067577417,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229161037,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.264656180
15,-0.0001239228586201,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001941478986,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.268124840
16,-0.0001239954726771,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001941476658,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.271583000
17,-0.0001239229895873,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001797639125,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.275045440
18,-0.0001240678393515,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001653802756,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.278505500
19,-0.0001239229895873,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001509962894,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.281959820
20,-0.0001239954726771,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001509962894,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.285415080
21,-0.0001240679703187,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001366124197,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.288875100
22,-0.0001241404534085,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001509961730,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.292333900
23,-0.0001242128200829,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001797642617,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.295789480
24,-0.0001240677083842,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001797644945,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.299249320
25,-0.0001239953562617,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001797642617,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.302701820
26,-0.0001239953562617,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001797642617,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.306167120
27,-0.0001241403224412,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001941481314,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.309629520
28,-0.0001242129510501,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002085317683,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.313083140
29,-0.0001241403224412,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229157544,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.316543580
30,-0.0001240679703187,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229156380,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.320005800
31,-0.0001240678393515,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229157544,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.323472920
32,-0.0001241403224412,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002229157544,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.326934960
33,-0.0001242851722054,Amp DC,.1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0002372997405,Volt DC,10,F,2W,F,F,07/05/2018,11:50:26,.330390620
